trial,analysis,status,r1,x1.c,c.x1.c1,@n2[dr],@n1[dr],@rm[r]
77,tran,ok,28.5144648416,,9.60308799327e-07,-0.894019025033,2.22986796284,949.020612302
78,tran,ok,8.19616583708,,1.04782557197e-06,-1.49866275469,-5.19409109139,982.156176782
79,tran,ok,29.7202082952,,9.94095390233e-07,22.6496392227,1.39812774553,1030.97322692
80,tran,ok,27.930011661,,9.4498450462e-07,3.72644427631,7.00280713402,1022.86725637
81,tran,ok,31.3436444674,,1.17779459526e-06,17.8758247415,2.68229046779,953.253593349
82,tran,ok,13.4339291756,,7.87111780282e-07,17.0801891069,-9.09061147322,955.018342691
83,tran,ok,3.59473877113,,9.46376866655e-07,-12.7860435982,-7.82324827799,1044.78929498
84,tran,ok,17.7988406998,,8.61440207299e-07,16.9706148861,5.08760605921,1037.20624681
85,tran,ok,12.2196365479,,9.59842141886e-07,-7.7560794179,-3.80089051267,1017.96996265
86,tran,ok,22.642697478,,1.03003115127e-06,-0.288576039947,-16.8901557254,1008.43419881
87,tran,ok,22.939010048,,1.00042079497e-06,16.9321777042,1.32525101971,1015.79270374
88,tran,ok,25.1576172724,,1.03880960146e-06,28.4558488327,-14.2889264836,1017.46916085
89,tran,ok,31.282477635,,1.02022568958e-06,-12.0466048789,-1.98061287228,995.223562887
90,tran,ok,33.6360620627,,9.08465542791e-07,-18.0030916514,-2.12685076108,999.66737915
91,tran,ok,19.1212966536,,9.56786753147e-07,7.92561349445,-9.78224809545,960.48033202
92,tran,ok,26.0831422168,,1.14453378861e-06,12.0792085019,-2.02506167498,999.508615902
93,tran,ok,27.4021896716,,9.66198199366e-07,-4.30776108959,6.11984271458,976.343239611
94,tran,ok,19.5885881347,,9.03732928155e-07,-14.9605404783,-1.66715197604,1011.13206113
95,tran,ok,23.7172207694,,8.01280868901e-07,1.37411079741,-2.76673942566,1019.76594671
96,tran,ok,22.5136155279,,1.0549670781e-06,-9.32568483368,-8.36602968629,1026.69807717
97,tran,ok,24.4973445955,,9.98399222193e-07,13.7521147682,0.290859478943,1002.46622696
98,tran,ok,29.3429774929,,1.13877995228e-06,-12.5439857431,-10.3268913814,1013.51654192
99,tran,ok,24.9932452364,,1.00081265451e-06,10.2506604488,-17.7663746107,1000.82497478
100,tran,ok,31.5780394626,,8.4276799617e-07,-10.2862707221,3.86381190345,1004.72795064
101,tran,ok,6.90799530605,,1.00720289465e-06,-12.1798958702,2.07658781353,1014.42974207
102,tran,ok,26.1350072126,,9.07097941159e-07,16.6887698008,-8.34003919079,1009.51834657
103,tran,ok,15.9103514309,,1.13957062279e-06,13.8094079481,-2.96581502089,1008.77523586
104,tran,ok,33.7318155677,,1.03467059963e-06,3.50989755049,14.109624538,1009.84983675
105,tran,ok,14.7209193674,,9.85944597427e-07,11.8598407138,2.64326873983,1011.28715646
106,tran,ok,14.7115407138,,8.21083610976e-07,-4.85846738262,4.07330369373,1030.30268074
107,tran,ok,16.197040346,,7.63552204156e-07,-4.38246451704,-3.84393647413,979.468108429
108,tran,ok,22.9078965108,,1.16494096188e-06,8.31137359378,20.7137296363,951.749938
109,tran,ok,22.6671695024,,9.55321707455e-07,13.2415349877,-4.53102714848,949.67655941
110,tran,ok,26.3644909979,,9.49493855272e-07,3.4809384541,8.46375718954,1024.71569127
111,tran,ok,5.92866624634,,9.76608273095e-07,19.8740116404,5.15256388061,1005.80564808
112,tran,ok,34.4695933415,,1.08241924023e-06,1.43218705527,-5.30256928032,1026.83623212
113,tran,ok,18.9679627053,,7.02696556128e-07,-11.7827522147,-9.48214380429,989.772774549
114,tran,ok,21.3200241401,,9.97997087822e-07,4.62754048739,-17.2857771681,984.165867932
115,tran,ok,14.6883615639,,9.34697641214e-07,-0.834441203422,-13.8856721526,1059.00506404
116,tran,ok,1.50093973014,,8.79819178192e-07,-0.885077948842,-15.2933968173,1046.61612699
117,tran,ok,15.8406324932,,1.10771844019e-06,-9.61434102558,1.35490884829,1011.97408656
118,tran,ok,11.4801684036,,1.07141304482e-06,-0.274469864418,-3.76554416274,975.745229243
119,tran,ok,37.9523827349,,8.60003738774e-07,-10.2592242595,-12.4777037559,973.088026633
120,tran,ok,12.4174255208,,1.21089431854e-06,-11.8949929153,-2.18280519084,1005.98040878
121,tran,ok,25.9800161691,,9.70502217128e-07,3.72354166635,8.49804319288,982.402357862
122,tran,ok,24.6209237342,,9.73505728604e-07,-0.599651090925,-8.45128965192,1026.435829
123,tran,ok,7.8306017021,,1.08252949612e-06,-9.68330156749,-5.9458942817,1013.97862758
124,tran,ok,30.2657051281,,9.74935281298e-07,2.1216356533,-6.44013005985,998.400202494
125,tran,ok,11.4077814169,,9.820847132e-07,6.41972582952,-20.3688831925,971.593675702
126,tran,ok,18.0181773789,,9.43403627232e-07,3.86750171934,-16.469451519,1028.12129296
127,tran,ok,29.4425551804,,1.16475239433e-06,3.268943286,-7.55694997018,984.470267289
128,tran,ok,13.1953975666,,9.70874544963e-07,6.17815048163,-4.953505969,985.154893126
129,tran,ok,3.0981108519,,8.9169141571e-07,-7.69669197367,-7.37130629648,1005.34675435
130,tran,ok,1.27797372933,,1.24848327091e-06,-16.1220591991,-22.0224545628,1015.45812031
131,tran,ok,19.4762596064,,9.24752047642e-07,7.16314781999,-2.77589270224,964.20654774
132,tran,ok,33.7588886567,,9.5800784581e-07,1.74586310415,-20.3536934017,1007.6213846
133,tran,ok,23.4310359136,,9.7497360083e-07,1.76738695509,5.50433930311,1020.59557864
134,tran,ok,33.4638153071,,9.04069667318e-07,-7.28419657742,-6.21743301293,979.556185194
135,tran,ok,10.6205079645,,1.18349894801e-06,-10.1859567471,-16.7169166128,977.289583051
136,tran,ok,1.72902114568,,8.18078418662e-07,10.6001277256,-13.2205460117,1042.37197847
137,tran,ok,26.3941976717,,1.03299897087e-06,-4.06410740154,-6.66411097066,987.510427621
138,tran,ok,32.9292320111,,7.84418684782e-07,8.92578339378,5.13780020752,996.625395758
139,tran,ok,10.725766333,,1.11906392044e-06,-10.8890935187,-16.8345781605,1011.17245844
140,tran,ok,18.0214986046,,9.87483232094e-07,28.1353161391,-3.96675567242,1026.68289151
141,tran,ok,42.8610892908,,1.03923238442e-06,1.12878022348,26.41480799,1012.17663761
142,tran,ok,20.8409662231,,1.00026512269e-06,5.59496757366,17.0166760916,1021.25235615
143,tran,ok,18.1848748354,,9.95277677098e-07,13.6138362287,-20.0437134929,996.137127199
144,tran,ok,27.8373299123,,8.6025212329e-07,-0.596570793115,0.527264832237,1023.04731638
145,tran,ok,3.27460021174,,1.01854491504e-06,-9.07042377237,4.71626176322,1031.87771145
146,tran,ok,13.7184547161,,9.47167865995e-07,-8.54156595443,-6.47364208079,991.014553141
147,tran,ok,39.9824754532,,9.93728313026e-07,9.20159243618,-13.3372061963,950.573601171
148,tran,ok,10.1959206674,,1.13411664987e-06,3.82471698772,-6.98290485309,1010.01446773
149,tran,ok,23.2556552001,,9.40881482499e-07,3.16059118925,-5.50393936575,1007.43147684
150,tran,ok,2.10361131699,,9.48720495284e-07,-13.7943340517,-9.11783152631,983.879597587
151,tran,ok,29.2578167286,,9.88648882512e-07,0.842502501445,-26.6076404269,994.605427253
152,tran,ok,17.2710706487,,1.00459194627e-06,-16.4948353026,3.18275414208,999.581633047
153,tran,ok,28.6363186867,,1.07579904401e-06,3.5186504964,-14.4838945988,993.663853799
154,tran,ok,26.4182821464,,1.06645479829e-06,0.853342772203,16.1888411309,987.434013893
155,tran,ok,4.25721719272,,9.1978629321e-07,2.30108627897,2.22238569207,1027.44686695
156,tran,ok,19.4923857647,,1.14362462823e-06,5.37698616418,1.11035286845,1005.31888591
157,tran,ok,32.7744419807,,1.2261639727e-06,-12.97503406,-5.34091686784,964.911802738
158,tran,ok,2.2011561103,,9.60842817039e-07,-0.982951575038,-12.7212469372,989.129761868
159,tran,ok,17.783546561,,8.28024892912e-07,-9.60958564983,7.67603488434,1059.68023421
160,tran,ok,24.2889744913,,1.21483817067e-06,-5.78354109018,-9.22658269368,1054.15892455
161,tran,ok,9.80687233024,,7.97786868359e-07,18.3437849583,0.863505340156,943.065689147
162,tran,ok,9.96343265901,,1.0574909128e-06,3.60176422262,-7.7649555565,975.703598049
163,tran,ok,19.3527358839,,9.83604175554e-07,-2.83452218212,-7.21110622461,1007.5125401
164,tran,ok,20.4379854204,,8.24465519758e-07,0.362900061675,4.98881428195,1013.04527705
165,tran,ok,42.1683447162,,1.03207456961e-06,8.35607378197,7.1904951129,1006.8317622
166,tran,ok,16.3192535995,,1.1003494541e-06,-5.60240319221,-13.8351235446,989.075036865
167,tran,ok,22.5083598626,,9.70460285629e-07,2.13388220154,8.73777152132,1013.13174098
168,tran,ok,-4.13580852831,,1.07720743982e-06,-14.4988685615,-1.29244287158,967.626962709
169,tran,ok,9.72918390699,,9.62297531238e-07,25.5251840644,11.6249620504,987.346538363
170,tran,ok,21.2892499824,,9.64327270423e-07,0.285076167164,2.47284509153,1048.66420945
171,tran,ok,22.105088906,,9.99750612391e-07,9.541971978,3.92623780817,998.351380955
172,tran,ok,37.4677401434,,8.63412961404e-07,6.09041988188,-9.91210156924,987.692043113
173,tran,ok,22.187017574,,8.93366605125e-07,-8.4908723394,-4.34783360944,991.952032411
174,tran,ok,33.8937718845,,1.04658697274e-06,-10.4620267114,0.194585206734,963.208173438
175,tran,ok,13.64768831,,9.74054814208e-07,8.18229723053,1.1780867373,1003.43834933
176,tran,ok,29.9031658237,,1.15038680538e-06,6.75523506236,15.1275468594,972.570918896
177,tran,ok,9.38983908748,,1.00781993926e-06,3.45643071779,-5.27481684015,965.323067742
178,tran,ok,37.650742291,,9.82625446038e-07,10.7134034139,-5.86590245433,1000.64812755
179,tran,ok,-1.02118534874,,1.01953873497e-06,-10.8432852194,9.35180180791,1025.99495455
180,tran,ok,36.4977852949,,8.85779328171e-07,-8.33488429134,-8.44584174394,966.685752091
181,tran,ok,28.0366240559,,1.11879789452e-06,-2.54517706848,-0.924013017075,997.710848418
182,tran,ok,18.0085940767,,8.67662813214e-07,-3.58005864264,7.77339823734,1029.76486465
183,tran,ok,17.2275531995,,1.0217101569e-06,11.9193929294,7.3921970346,1026.27714459
184,tran,ok,2.18546827992,,1.02051143277e-06,-6.278360432,-1.19361803049,982.563838911
185,tran,ok,13.8878596492,,1.18734615838e-06,0.163861730081,-7.97498070482,999.892633089
186,tran,ok,25.6987132581,,1.04904663881e-06,31.6563420372,9.10740066031,998.922315657
187,tran,ok,32.8746428541,,9.90187074506e-07,0.333837639783,13.9945854972,1012.03694897
188,tran,ok,36.7556721095,,8.58609932586e-07,-8.62404177025,0.516400645513,1027.06138146
189,tran,ok,11.0032308227,,1.1889405418e-06,-23.018610418,2.09188358756,1017.36889865
190,tran,ok,17.3401697684,,9.13770472042e-07,-13.95425997,1.03405859965,975.26464592
191,tran,ok,16.2341377614,,8.96447672447e-07,8.02043293027,14.1142634093,1003.89674775
192,tran,ok,33.4980372861,,1.07120319421e-06,-5.36771005316,1.9619427475,992.016847003
193,tran,ok,25.0250022021,,1.12279741051e-06,-13.0355106467,-7.16828721275,1000.72051473
194,tran,ok,33.377951831,,1.0674806082e-06,7.34028860965,-11.7242894111,1012.12331377
195,tran,ok,8.84175842574,,9.48924431865e-07,-7.844742576,-3.7302701537,967.115308713
196,tran,ok,28.4167004728,,9.63549514092e-07,14.349593313,3.66321109086,1020.56352877
197,tran,ok,17.8444951879,,1.08277408629e-06,11.0200288474,-1.17877211887,1002.32306621
198,tran,ok,9.9625051856,,9.96654473993e-07,3.43820368533,26.644844406,1025.29872882
199,tran,ok,2.3475374382,,1.10185966556e-06,-4.8848108533,0.582383029087,967.109882758
200,tran,ok,23.4530068953,,1.06092118324e-06,6.12796235545,-14.9055725758,984.878080179
